ch_names,RIGHT,NOSE,TOP
Fp1,-0.0294367,0.0939171,-0.00699
Fpz,0.0001123,0.098247,-0.001713
Fp2,0.0298723,0.0948959,-0.00708
AF9,-0.0489708,0.0740872,-0.047683
AF7,-0.0548397,0.0785722,-0.01059
AF5,-0.0454307,0.0828622,0.005978
AF3,-0.0337007,0.0868371,0.021227
AF1,-0.0184717,0.0899041,0.032752
AFz,0.0002313,0.090771,0.035417
AF2,0.0198203,0.0903019,0.032764
AF4,0.0357123,0.0877259,0.021956
AF6,0.0465843,0.0838078,0.006034
AF8,0.0557433,0.0796568,-0.010755
AF10,0.0504352,0.0738698,-0.048005
F9,-0.0701019,0.0516523,-0.049952
F7,-0.0702629,0.0524743,-0.01142
F5,-0.0644658,0.0580353,0.016921
F3,-0.0502438,0.0631112,0.042192
F1,-0.0274958,0.0669311,0.060342
Fz,0.0003122,0.068512,0.066462
F2,0.0295142,0.0676019,0.05954
F4,0.0518362,0.0643048,0.040814
F6,0.0679142,0.0598297,0.016367
F8,0.0730431,0.0544217,-0.012
F10,0.0721141,0.0520667,-0.050452
FT9,-0.0840759,0.0245673,-0.050429
FT7,-0.080775,0.0241203,-0.011135
FC5,-0.0772149,0.0286433,0.02446
FC3,-0.0601819,0.0327162,0.055544
FC1,-0.0340619,0.0360111,0.079987
FCz,0.0003761,0.03739,0.088668
FC2,0.0347841,0.0364379,0.078808
FC4,0.0622931,0.0337228,0.05563
FC6,0.0795341,0.0299357,0.024438
FT8,0.0818151,0.0254167,-0.01133
FT10,0.0841131,0.0243647,-0.050538
T9,-0.0858941,-0.0058287,-0.048283
T7,-0.0841611,-0.0060187,-0.009346
C5,-0.0802801,-0.0037597,0.02916
C3,-0.0653581,-0.0016317,0.064358
C1,-0.036158,1.61E-05,0.089752
Cz,0.0004009,0.000833,0.100244
C2,0.037672,0.0003759,0.088412
C4,0.0671179,-0.0009003,0.06358
C6,0.0834559,-0.0027763,0.029208
T8,0.0850799,-0.0050203,-0.00949
T10,0.0855599,-0.0063613,-0.048271
TP9,-0.0856192,-0.0365147,-0.045707
TP7,-0.0848302,-0.0360217,-0.007056
CP5,-0.0795922,-0.0365507,0.030949
CP3,-0.0635562,-0.0370088,0.065624
CP1,-0.0355131,-0.0372919,0.091315
CPz,0.0003858,-0.037318,0.099432
CP2,0.0383838,-0.0370731,0.090695
CP4,0.0666118,-0.0366372,0.06558
CP6,0.0833218,-0.0361013,0.031206
TP8,0.0855488,-0.0355453,-0.00713
TP10,0.0861618,-0.0370353,-0.045869
P9,-0.0730093,-0.0637657,-0.040998
P7,-0.0724343,-0.0634527,-0.002487
P5,-0.0672723,-0.0662907,0.028382
P3,-0.0530073,-0.0687878,0.05594
P1,-0.0286203,-0.0705249,0.075436
Pz,0.0003247,-0.071115,0.082615
P2,0.0319197,-0.0704871,0.076716
P4,0.0556667,-0.0685602,0.056561
P6,0.0678877,-0.0659043,0.028091
P8,0.0730557,-0.0630683,-0.00254
P10,0.0738947,-0.0643903,-0.04122
PO9,-0.0549104,-0.0880448,-0.035465
PO7,-0.0548404,-0.0875279,0.002792
PO5,-0.0484244,-0.0893408,0.021599
PO3,-0.0365114,-0.0908529,0.037167
PO1,-0.0189724,-0.091768,0.046536
POz,0.0002156,-0.092178,0.050608
PO2,0.0198776,-0.091793,0.046393
PO4,0.0367816,-0.0908491,0.036397
PO6,0.0498196,-0.0894461,0.021727
PO8,0.0556666,-0.0876251,0.00273
PO10,0.0549876,-0.0880911,-0.035541
O1,-0.0294134,-0.102449,0.008839
Oz,0.0001076,-0.104892,0.014657
O2,0.0298426,-0.102156,0.0088
O9,-0.0298184,-0.10457,-0.029216
Iz,0.0000045,-0.108565,-0.023078
O10,0.0297416,-0.10426,-0.029256
T3,-0.0841611,-0.0060187,-0.009346
T5,-0.0724343,-0.0634527,-0.002487
T4,0.0850799,-0.0050203,-0.00949
T6,0.0730557,-0.0630683,-0.00254
M1,-0.1080761,-0.0329897,-0.0067986
M2,0.109939,-0.0330093,-0.00618031
A1,-0.0860761,-0.0149897,-0.067986
A2,0.0857939,-0.0150093,-0.068031
IO,0.0298723,0.1,-0.00708
O01z,-0.10153281,-0.039597375,0.0303955
O02z,-0.095718065,-0.04366412,-0.0302944
O03z,-0.040345105,-0.04366412,-0.0813308
O05z,0.040345105,-0.04366412,-0.0813308
O06z,0.095718065,-0.04366412,-0.0302944
O07z,0.10153281,-0.039597375,0.0303955
O11z,-0.08319284,-0.068630275,0.0603582
O12z,-0.080692165,-0.07468146,0.0329332
O13z,-0.086884915,-0.07080136,0
O14z,-0.07499472,-0.07382908,-0.0304092
O15z,-0.044460265,-0.07382908,-0.0606857
O16z,0,-0.073061915,-0.0712094
O17z,0.044460265,-0.07382908,-0.0606857
O18z,0.07499472,-0.07382908,-0.0304092
O19z,0.086884915,-0.07080136,0
O110z,0.080692165,-0.07468146,0.0329332
O111z,0.08319284,-0.068630275,0.0603582
O21z,-0.046399165,-0.093594245,0.0642559
O22z,-0.04665136,-0.09735095,0.0345729
O23z,-0.047823095,-0.099726505,0
O24z,-0.03194378,-0.098044745,-0.0278136
O25z,0,-0.091791045,-0.0513899
O26z,0.03194378,-0.098044745,-0.0278136
O27z,0.047823095,-0.099726505,0
O28z,0.04665136,-0.09735095,0.0345729
O29z,0.046399165,-0.093594245,0.0642559
O31z,0,-0.10175545,0.0655302
O32z,0,-0.105177735,0.035139
O33z,0,-0.107525,0
NI-TRIG,0,0.025875,0
